Name,Profit2016,Profit2017,Energy2016,Energy2017,Deprication2012,Deprication2013,Investments2012,Investments2013,Costs2012,Costs2013,Earnings2012,Earnings2013
Забайкальский край,5.27,10.72,8070.2,8129.3,30.6,35,61603,48452,8.7,8.3,17546,19886
Республика Саха (Якутия),31.32,46.08,7863.4,7918.4,32.6,35,214713,202947,7.6,7.8,28701,31528
Камчатский край,19.36,25.74,1780.8,1810.7,30.3,30.7,112808,101832,13.3,12.7,31764,35371
Приморский край,9.97,10.3,13178.4,13182.4,24.9,27.1,104260,58209,9,8.8,21679,24343
Хабаровский край,7.28,8.71,8652.8,8697.7,29.4,28.3,134031,102142,9.2,9.2,25689,29382
Амурская область,11.88,12.6,8002.4,8287.0,25.9,26.9,138035,142283,13.6,12.9,21800,24671
Магаданская область,23.56,25.58,2181.6,2244.0,47.6,37.9,179707,212583,12.7,13.9,36620,42463
Сахалинская область,34.25,31.55,4613.6,4406.6,29,31.9,331804,341510,10.6,9.2,32721,39971
Еврейская автономная область,-9.48,-6.98,1310.2,1240.3,22.6,27.2,143747,66635,8.3,8.8,18450,20417
Чукотский автономный округ,33.07,39.22,677.3,690.9,44.4,43,339671,205637,9.9,8.9,48533,52695
